k00	f00	Ankunft_HH	Abfahrt_HH
2092020	4	1	1
2092020	5	1	1
2092020	6	1	1
2092020	7	1	1
2092020	8	1	1
2092020	9	1	1
2092020	10	1	1
2092020	11	1	1
2092020	12	0	1
2092035	2	1	1
2092035	3	1	1
2092035	4	0	1
2092357	2	0	1
2092416	1	1	1
2092416	2	1	1
2092461	1	1	1
2092461	2	1	1
2092767	2	1	1
2092767	3	0	1
2092819	3	0	1
2092855	1	1	1
2092855	2	1	1
2092933	1	0	1
2093102	1	1	1
2093102	2	1	1
2093111	1	1	1
2093111	2	1	1
2093111	3	1	1
2093111	4	1	1
2093111	5	1	1
2093111	6	1	1
2093111	7	1	1
2093111	8	1	1
2093111	9	1	1
2093111	10	1	1
2093111	11	1	1
2093111	12	0	1
2093205	1	1	1
2093205	2	1	1
2093230	1	1	1
2093230	2	1	1
2093231	1	1	1
2093231	2	1	1
2093250	2	0	1
2093250	4	0	1
2093345	1	1	1
2093345	2	1	1
2093345	3	1	1
2093345	4	1	1
2093345	5	1	1
2093345	6	1	1
2093345	7	1	1
2093448	1	1	1
2093448	2	1	1
2093451	1	1	1
2093451	2	1	1
2093458	1	1	1
2093458	2	1	1
2093458	3	1	1
2093508	1	1	1
2093508	2	1	1
2093511	1	1	1
2093511	2	1	1
2093514	1	1	1
2093514	2	1	1
2093517	1	1	1
2093517	2	1	1
2093517	3	1	1
2093517	4	1	1
2093519	2	0	1
2093522	1	0	1
2093644	2	1	1
2093644	3	1	1
2093644	4	1	1
2093644	5	1	1
2093644	6	0	1
2093645	1	1	1
2093645	2	1	1
2093646	1	1	1
2093646	2	1	1
2093646	3	1	1
2093648	1	1	1
2093648	2	1	1
2093650	1	1	1
2093650	2	1	1
2093703	1	1	1
2093703	2	1	1
2093707	1	1	1
2093707	2	1	1
2093707	3	1	1
2093707	4	1	1
2093708	1	1	1
2093708	2	0	1
2093708	4	1	1
2093732	1	1	1
2093732	2	1	1
2093967	1	1	1
2093967	2	1	1
2094168	7	1	1
2094168	8	1	1
2094168	9	0	1
2094235	1	1	1
2094235	2	1	1
2094351	1	1	1
2094351	2	1	1
2094359	2	0	1
2094361	1	1	1
2094361	2	1	1
2094372	1	1	1
2094372	2	1	1
2094517	1	1	1
2094517	2	1	1
2094519	1	0	1
2094519	4	0	1
2094519	6	1	1
2094519	7	1	1
2094519	8	1	1
2094519	9	1	1
2094519	10	1	1
2094519	11	1	1
2094519	12	0	1
2094548	1	1	1
2094548	2	1	1
2094548	3	1	1
2094608	1	1	1
2094608	2	1	1
2094608	3	1	1
2094608	4	1	1
2094608	5	1	1
2094608	6	1	1
2094608	7	1	1
2094608	8	1	1
2094641	2	0	1
2094645	1	1	1
2094645	2	1	1
2094803	1	1	1
2094803	2	1	1
2094803	3	1	1
2094803	4	1	1
2094803	5	1	1
2094803	6	1	1
2094803	7	1	1
2094803	8	1	1
2094803	9	1	1
2094803	10	1	1
2094803	11	1	1
2094803	12	0	1
2094804	2	0	1
2094807	1	0	1
2094816	1	1	1
2094816	2	1	1
2094816	3	1	1
2094816	4	1	1
2094820	2	0	1
2094834	1	0	1
2094859	1	1	1
2094859	2	1	1
2094859	3	1	1
2094859	4	1	1
2094860	2	0	1
2094863	1	1	1
2094863	2	1	1
2094863	3	1	1
2094863	4	1	1
2094863	5	1	1
2094863	6	1	1
2094864	1	0	1
2094864	3	1	1
2094864	4	1	1
2094908	1	1	1
2094908	2	1	1
2094911	1	1	1
2094911	2	1	1
2094911	3	1	1
2094911	4	1	1
2094912	1	0	1
2094951	3	0	1
2094951	5	1	1
2094951	6	0	1
2095008	2	1	1
2095008	3	0	1
2100264	1	1	1
2100264	2	1	1
2100273	1	1	1
2100273	2	1	1
2100411	2	0	1
2100544	1	1	1
2100544	2	1	1
2100736	1	1	1
2100736	2	1	1
2100736	3	1	1
2100736	4	1	1
2100736	5	1	1
2100736	6	1	1
2100855	2	1	1
2100855	3	1	1
2100855	4	1	1
2100855	5	1	1
2100855	6	0	1
2101128	1	1	1
2101336	2	0	1
2101550	1	1	1
2101550	2	1	1
2101615	1	1	1
2101615	2	1	1
2101724	1	1	1
2101724	2	1	1
2101871	1	1	1
2101874	1	1	1
2101874	2	1	1
2102123	1	1	1
2102123	2	1	1
2102324	1	0	1
2102348	1	0	1
2102352	1	1	1
2102352	2	1	1
2102352	3	1	1
2102352	4	1	1
2102374	1	0	1
2102374	3	0	1
2102374	5	1	1
2102424	1	1	1
2102424	2	1	1
2102424	3	1	1
2102426	1	0	1
2102426	5	1	1
2102463	1	1	1
2102463	2	1	1
2102637	2	0	1
2102809	2	0	1
2102812	1	1	1
2102812	2	1	1
2102812	3	1	1
2102812	4	1	1
2102826	2	1	1
2102826	3	0	1
2102874	2	1	1
2102874	3	1	1
2102874	4	1	1
2102874	5	1	1
2102874	6	0	1
2102875	1	1	1
2102875	2	1	1
2102875	3	1	1
2102875	4	1	1
2102875	5	1	1
2102875	6	1	1
2103141	1	1	1
2103141	2	1	1
2103141	3	1	1
2103141	4	1	1
2103141	5	1	1
2103141	6	1	1
2103141	7	1	1
2103141	8	1	1
2103259	1	1	1
2103259	2	1	1
2103269	1	1	1
2103269	2	1	1
2103312	2	0	1
2103358	2	0	1
2103361	1	0	1
2103363	1	1	1
2103363	2	1	1
2103373	2	0	1
2103402	1	1	1
2103402	2	1	1
2103518	1	1	1
2103522	1	1	1
2103522	2	1	1
2103536	1	1	1
2103536	2	1	1
2103536	3	1	1
2103536	4	1	1
2103537	1	1	1
2103537	2	1	1
2103537	3	1	1
2103537	4	1	1
2103537	5	1	1
2103551	1	1	1
2103551	2	1	1
2103551	3	1	1
2103551	4	1	1
2103551	5	1	1
2103551	6	1	1
2103551	7	0	1
2103551	11	1	1
2103556	1	0	1
2103564	1	1	1
2103564	2	1	1
2103564	3	1	1
2103564	4	1	1
2103565	1	1	1
2103565	2	1	1
2103565	3	1	1
2103614	3	0	1
2103653	1	1	1
2103653	2	1	1
2103653	3	1	1
2103738	1	1	1
2103738	2	1	1
2103738	3	1	1
2103738	4	1	1
2103738	5	1	1
2103738	6	1	1
2110266	1	0	1
2110365	2	0	1
2110422	1	0	1
2110424	1	1	1
2110424	2	1	1
2110424	3	1	1
2110424	4	0	1
2110425	1	1	1
2110425	2	1	1
2110425	3	1	1
2110426	1	1	1
2110426	2	1	1
2110426	3	1	1
2110461	1	1	1
2110461	2	1	1
