k00	f00	Ankunft_MRH	Abfahrt_MRH
2021342	5	1	1
2021342	6	1	1
2021342	7	1	1
2021342	8	1	1
2021342	9	1	1
2021367	1	1	1
2021367	2	1	1
2021367	3	1	1
2021367	4	1	1
2021511	1	1	1
2021519	1	1	1
2021519	2	1	1
2021519	3	1	1
2021519	4	1	1
2021519	5	1	1
2021519	6	1	1
2021519	7	1	1
2021557	1	1	1
2021557	2	1	1
2021557	3	1	1
2021569	1	1	1
2021569	2	1	1
2021711	1	1	1
2021711	2	1	1
2021711	3	1	1
2021711	4	1	1
2021711	5	1	1
2021711	6	1	1
2021726	1	1	1
2021726	2	1	1
2021726	3	1	1
2021726	4	1	1
2021726	5	1	1
2021726	6	1	1
2021726	7	1	1
2021726	8	1	1
2021726	9	1	1
2021726	10	1	1
2021752	1	1	1
2021752	2	1	1
2021803	1	1	1
2021803	2	1	1
2021803	3	1	1
2030105	1	1	1
2030105	2	1	1
2030105	3	1	1
2030105	4	1	1
2030105	5	1	1
2030105	6	1	1
2030105	7	1	1
2030119	1	1	1
2030119	2	1	1
2030119	3	1	1
2030119	4	1	1
2030119	5	1	1
2030119	6	1	1
2030135	1	1	1
2030135	2	1	1
2030262	1	1	1
2030262	2	1	1
2030270	1	1	1
2030270	2	1	1
2030270	3	1	1
2030270	4	1	1
2030270	5	1	1
2030270	6	1	1
2030270	7	1	1
2030270	8	1	1
2030270	9	1	1
2030304	1	1	1
2030304	2	1	1
2030434	1	1	0
2030434	2	1	1
2030541	2	1	0
2030805	1	1	1
2030806	1	1	1
2030806	2	1	1
2030806	3	1	1
2030806	4	1	1
2030806	5	1	1
2030806	6	1	1
2030806	7	1	1
2030806	8	1	1
2030806	9	1	1
2030806	10	1	1
2030806	11	1	1
2030866	1	1	1
2030866	2	1	1
2040229	1	1	1
2040229	2	1	1
2040229	3	1	1
2040229	4	1	1
2040252	1	1	0
2040252	2	1	1
2040306	1	1	1
2040311	2	1	0
2040311	3	1	1
2040331	1	1	1
2040331	2	1	1
2040332	2	1	0
2040371	1	1	1
2040371	2	1	1
2040371	3	1	1
2040371	4	1	1
2040371	5	1	1
2040371	6	1	1
2040371	7	1	1
2040474	1	1	1
2040474	2	1	1
2040474	3	1	1
2040474	4	1	1
2040517	1	1	0
2040624	1	1	1
2040624	2	1	1
2040632	1	1	1
2040632	2	1	1
2040632	3	1	1
2040704	1	1	1
2040704	2	1	1
2040704	3	1	1
2040704	4	1	1
2040751	1	1	1
2040751	2	1	1
2041143	1	1	0
2041152	1	1	0
2041152	2	1	1
2041152	3	1	1
2041152	4	1	1
2041468	2	1	0
2041557	1	1	1
2041557	2	1	1
2041565	1	1	1
2041565	2	1	1
2041659	1	1	1
2041659	2	1	1
2041672	1	1	1
2041672	2	1	1
2041824	1	1	1
2041824	2	1	1
2041824	3	1	1
2041824	4	1	1
2041824	5	1	1
2041824	6	1	1
2041824	7	1	1
2041824	8	1	1
2041824	9	1	1
2041826	1	1	1
2041826	2	1	1
2041826	3	1	1
2041826	4	1	1
2041826	5	1	1
2041826	6	1	1
2041826	7	1	1
2041827	1	1	1
2041833	1	1	1
2041833	2	1	1
2041833	3	1	1
2041841	1	1	1
2041841	2	1	1
2041841	3	1	1
2041841	4	1	1
2041841	5	1	1
2041841	6	1	1
2041841	7	1	1
2041841	8	1	1
2041853	1	1	1
2041853	6	1	0
2041923	1	1	1
2041923	2	1	1
2041954	1	1	1
2041954	2	1	1
2041954	3	1	1
2041954	4	1	1
2041954	5	1	1
2041954	6	1	1
2042024	1	1	1
2042024	2	1	1
2042123	1	1	1
2042123	2	1	1
2042123	3	1	1
2042135	1	1	1
2042135	2	1	1
2042136	1	1	1
2042136	2	1	1
2042136	3	1	1
2042136	4	1	1
2042173	1	1	1
2042261	1	1	1
2042261	2	1	1
2042327	1	1	1
2042327	2	1	1
2050157	1	1	1
2050157	2	1	1
2050167	1	1	1
2050167	2	1	1
2050314	1	1	1
2050314	2	1	1
2050314	3	1	1
2050314	4	1	1
2050314	5	1	1
2050314	6	1	1
2050314	7	1	1
2050330	1	1	1
2050330	2	1	1
2050330	3	1	1
2050330	4	1	1
2050330	5	1	1
2050330	6	1	1
2050330	7	1	1
2050330	8	1	1
2050404	1	1	1
2050541	1	1	1
2050541	2	1	1
2050542	1	1	1
2050542	2	1	1
2050542	3	1	1
2050542	4	1	1
2050542	5	1	1
2050542	6	1	1
2050542	7	1	1
2050544	1	1	1
2050544	2	1	1
2050557	1	1	1
2050557	2	1	1
2050557	3	1	1
2050557	4	1	1
2050557	6	1	0
2050568	1	1	1
2050568	2	1	1
2050568	3	1	1
2050707	1	1	1
2050743	1	1	1
2050816	1	1	1
2050816	2	1	1
2050816	3	1	1
2050816	4	1	1
2050816	5	1	1
2050845	1	1	1
2050845	2	1	1
2050856	1	1	0
2050858	1	1	1
2050858	2	1	1
2060146	1	1	1
2060146	2	1	1
2060146	3	1	1
2060146	4	1	1
2060147	1	1	1
2060147	2	1	1
2060149	1	1	1
2060149	2	1	1
2060149	3	1	1
2060162	1	1	1
2060162	2	1	1
2060172	1	1	1
2060172	2	1	1
2060204	1	1	1
2060204	2	1	1
2060264	1	1	1
2060264	2	1	1
2060264	3	1	1
2060271	1	1	1
2060271	2	1	1
2060425	1	1	1
2060425	2	1	1
2060425	3	1	1
2060425	4	1	1
2060425	5	1	1
2060425	6	1	1
2060425	7	1	1
2060425	8	1	1
2060425	9	1	1
2060425	10	1	1
2060425	11	1	1
2060439	1	1	0
2060447	1	1	1
2060447	2	1	1
2060447	3	1	1
2060538	1	1	1
2060538	2	1	1
2060538	3	1	1
2060538	4	1	1
2060538	6	1	0
2060544	1	1	0
2060544	6	1	0
2060557	1	1	1
2060557	2	1	1
2060571	1	1	1
2060571	2	1	1
2060571	3	1	1
2060571	4	1	1
2060571	5	1	1
2060617	1	1	1
2060617	2	1	1
2060617	3	1	1
2060617	4	1	1
2060627	1	1	1
2060627	2	1	1
2060637	2	1	0
2060640	1	1	0
2060671	1	1	1
2060671	2	1	1
2060671	3	1	1
2060671	4	1	1
2060713	1	1	1
2060713	2	1	1
2060713	3	1	1
2060713	4	1	1
2060713	5	1	1
2060713	6	1	1
2060713	7	1	1
2060719	1	1	1
2060719	2	1	1
2060719	3	1	1
2060719	4	1	1
2060721	1	1	1
2060721	2	1	1
2060746	5	1	0
2060759	1	1	1
2060759	2	1	1
2060759	3	1	1
2070119	1	1	1
2070119	2	1	1
2070119	3	1	1
2070119	4	1	1
2070119	5	1	1
2070205	2	1	0
2070212	1	1	1
2070212	2	1	1
2070212	3	1	1
2070212	4	1	1
2070217	2	1	0
2070222	1	1	1
2070222	2	1	1
2070223	1	1	1
2070223	2	1	1
2070223	3	1	1
2070223	4	1	1
2070223	5	1	1
2070223	6	1	1
2070223	7	1	1
2070223	8	1	1
2070243	1	1	1
2070243	2	1	1
2070243	3	1	1
2070243	4	1	1
2070244	1	1	1
2070244	2	1	1
2070244	3	1	1
2070257	1	1	1
2070257	2	1	1
2070264	1	1	1
2070264	2	1	1
2070341	1	1	1
2070341	2	1	1
2070342	1	1	1
2070342	2	1	1
2070342	3	1	1
2070342	4	1	1
2070342	5	1	1
2070342	6	1	1
2070342	7	1	1
2070342	8	1	1
2070342	9	1	1
2070342	10	1	1
2070342	11	1	1
2070359	1	1	1
2070359	2	1	1
2070359	3	1	1
2070359	4	1	1
2070359	5	1	1
2070359	6	1	1
2070359	7	1	1
2070359	8	1	1
2070359	9	1	1
2070359	10	1	1
2070359	11	1	1
2070444	1	1	0
2070454	1	1	1
2070454	2	1	1
2070454	3	1	1
2070454	4	1	1
2070454	5	1	1
2070512	1	1	0
2070517	1	1	1
2080106	1	1	1
2080106	2	1	1
2080106	3	1	1
2080106	4	1	1
2080330	1	1	1
2080330	2	1	1
2080330	3	1	1
2080345	1	1	1
2080345	2	1	1
2080434	1	1	1
2080434	2	1	1
2080607	1	1	1
2080607	2	1	1
2080750	1	1	1
2080750	2	1	1
2080825	1	1	1
2080825	2	1	1
2080825	3	1	1
2080825	4	1	1
2080827	1	1	1
2080827	2	1	1
2081010	1	1	1
2081010	2	1	1
2081025	1	1	1
2081025	2	1	1
2081025	3	1	1
2081025	4	1	1
2081039	1	1	1
2081039	2	1	1
2081039	3	1	1
2081039	4	1	1
2081039	5	1	1
2081039	6	1	1
2081039	7	1	1
2081039	8	1	1
2081039	9	1	1
2081039	10	1	1
2081039	11	1	1
2081041	1	1	1
2081041	2	1	1
2081041	3	1	1
2081041	4	1	1
2081041	5	1	1
2081139	1	1	1
2081139	2	1	1
2081139	3	1	1
2081140	1	1	1
2081140	2	1	1
2081140	3	1	1
2081140	4	1	1
2081234	1	1	1
2081234	2	1	1
2081234	3	1	1
2081234	4	1	1
2081234	5	1	1
2081234	6	1	1
2081258	1	1	1
2081258	2	1	1
2081367	1	1	1
2081367	2	1	1
2081367	3	1	1
2081367	4	1	1
2081367	5	1	1
2081367	6	1	1
2081367	7	1	1
2081367	8	1	1
2081414	1	1	1
2081414	2	1	1
2081414	3	1	1
2081414	4	1	1
2081546	1	1	1
2081546	2	1	1
2081706	1	1	0
2081706	2	1	1
2081706	3	1	1
2090139	1	1	1
2090139	2	1	1
2090666	2	1	0
2090807	2	1	0
2090807	3	1	1
2090807	4	1	1
2090901	1	1	1
2090902	1	1	1
2090902	2	1	1
2090943	1	1	1
2090943	2	1	1
2091002	1	1	1
2091002	2	1	1
2091002	3	1	1
2091002	4	1	1
2091002	5	1	1
2091002	6	1	1
2091002	7	1	1
2091002	8	1	1
2091002	9	1	1
2091002	10	1	1
2091002	11	1	1
2091008	1	1	1
2091008	2	1	1
2091008	3	1	1
2091008	4	1	1
2091008	5	1	1
2091008	6	1	1
2091009	1	1	1
2091009	2	1	1
2091009	3	1	1
2091009	4	1	1
2091009	5	1	1
2091009	6	1	1
2091009	7	1	1
2091009	8	1	1
2091009	9	1	1
2091009	10	1	1
2091009	11	1	1
2091010	1	1	1
2091010	2	1	1
2091010	3	1	1
2091010	4	1	1
2091010	5	1	1
2091010	6	1	1
